Category,Brand,Product Name,Size,Province,# Stores,Total Stores,'% of Stores,Avg Price,date
EDIBLES,zz_comp_CANN SOCIAL TONIC,GRAPEFRUIT ROSEMARY,4 Pack,SK,5,136,0.036764706,18.18800049,2024-03-31
EDIBLES,zz_comp_CANN SOCIAL TONIC,GRAPEFRUIT ROSEMARY,4 Pack,QC,5,98,0.051020408,20.89999962,2024-03-31
EDIBLES,zz_comp_TWEED,GUAVA ICED TEA,355mL,ON,4,1631,0.002452483,5.972499847,2024-03-31
EDIBLES,zz_comp_QUATREAU,BLUEBERRY ACAI SPARKLING WATER,1x355ml,ON,4,1631,0.002452483,4.332499921,2024-03-31
EDIBLES,zz_comp_COLLECTIVE PROJECT,MANGO PINEAPPLE & COCONUT SPARKLING JUICE,1x355ml,NS,4,50,0.08,7.989999771,2024-03-31
EDIBLES,zz_comp_XMG,MANGO PINEAPPLE,1x236ml,PE,3,5,0.6,6.079999924,2024-03-31
EDIBLES,zz_comp_TWEED,FIZZ WATERMELON,1x355ml,BC,3,389,0.007712082,6.159999847,2024-03-31
EDIBLES,zz_comp_TWEED,FIZZ MANGO,1x355ml,YT,3,5,0.6,7.987499952,2024-03-31
EDIBLES,zz_comp_IMPROMPTU,SPACE ELEVATOR,330ml,AB,3,566,0.005300353,8.803333282,2024-03-31
EDIBLES,zz_comp_QUATREAU,BLUEBERRY ACAI SPARKLING WATER,1x355ml,SK,3,136,0.022058824,4.399999976,2024-03-31
EDIBLES,zz_comp_QUATREAU,BLUEBERRY ACAI SPARKLING WATER,1x355ml,AB,3,566,0.005300353,4.989999771,2024-03-31
EDIBLES,zz_comp_LITTLE VICTORY,SPARKLING LEMONADE,1x355ml,ON,3,1631,0.001839362,5.336666663,2024-03-31
EDIBLES,zz_comp_QUATREAU,BLUEBERRY ACAI SPARKLING WATER,1x355ml,NL,2,33,0.060606061,5.239999771,2024-03-31
EDIBLES,zz_comp_TWEED,FIZZ WATERMELON,1x355ml,NL,2,33,0.060606061,6.599999905,2024-03-31
EDIBLES,zz_comp_TWEED,GUAVA ICED TEA,355mL,AB,2,566,0.003533569,5.989999771,2024-03-31
EDIBLES,zz_comp_CANN SOCIAL TONIC,LEMON LAVENDER,4 Pack,BC,2,389,0.005141388,19.98999977,2024-03-31
EDIBLES,GREEN MONKE,MANGO GUAVA SPARKLING SODA,1x350ml,AB,2,566,0.003533569,4.5,2024-03-31
EDIBLES,GREEN MONKE,ORANGE PASSIONFRUIT SPARKLING SODA,1x350ml,PE,2,5,0.4,4.989999771,2024-03-31
EDIBLES,zz_comp_ACE VALLEY,MOONWAVE SPARKLING BEVERAGE,222ml,MB,2,132,0.015151515,5.744999886,2024-03-31
EDIBLES,zz_comp_HOUSE OF TERPENES,LIMONENE & SPARKLING TONIC,1x355ml,NB,2,29,0.068965517,3,2024-03-31
EDIBLES,zz_comp_TWEED,FIZZ WATERMELON,1x355ml,MB,2,132,0.015151515,5.950000048,2024-03-31
EDIBLES,zz_comp_QUATREAU,BLUEBERRY ACAI SPARKLING WATER,1x355ml,MB,2,132,0.015151515,5.350000143,2024-03-31
EDIBLES,zz_comp_TWEED,FIZZ MANGO,1x355ml,BC,2,389,0.005141388,6.244999886,2024-03-31
EDIBLES,GREEN MONKE,ORANGE PASSIONFRUIT SPARKLING SODA,1x350ml,AB,2,566,0.003533569,4.5,2024-03-31
EDIBLES,GREEN MONKE,MANGO GUAVA SPARKLING SODA,1x350ml,PE,2,5,0.4,4.989999771,2024-03-31
EDIBLES,zz_comp_ACE VALLEY,MOONWAVE SPARKLING BEVERAGE,222ml,AB,2,566,0.003533569,4.444999933,2024-03-31
EDIBLES,zz_comp_IMPROMPTU,SPACE ELEVATOR,330ml,MB,2,132,0.015151515,9.489999771,2024-03-31
EDIBLES,zz_comp_KEEF,ORANGE KUSH CLASSIC SODA,1x355ml,BC,2,389,0.005141388,6.949999809,2024-03-31
EDIBLES,zz_comp_PHRESH,STRAWBERRY KIWI,1x355ml,AB,1,566,0.001766784,6,2024-03-31
EDIBLES,zz_comp_LITTLE VICTORY,SPARKLING LEMONADE,1x355ml,SK,1,136,0.007352941,4.800000191,2024-03-31
EDIBLES,zz_comp_HOUSE OF TERPENES,LIMONENE & SPARKLING TONIC,1x355ml,MB,1,132,0.007575758,6.489999771,2024-03-31
EDIBLES,zz_comp_PHRESH,STRAWBERRY KIWI,1x355ml,SK,1,136,0.007352941,6,2024-03-31
EDIBLES,zz_comp_PHRESH,STRAWBERRY KIWI,1x355ml,BC,1,389,0.002570694,6.989999771,2024-03-31
EDIBLES,GREEN MONKE,TROPICAL CITRUS,350ml,PE,1,5,0.2,6.989999771,2024-03-31
EDIBLES,GREEN MONKE,TROPICAL CITRUS,350ml,AB,1,566,0.001766784,4.5,2024-03-31
EDIBLES,GREEN MONKE,PINEAPPLE COCONUT,350ml,AB,1,566,0.001766784,4.5,2024-03-31
EDIBLES,zz_comp_LITTLE VICTORY,SPARKLING LEMONADE,1x355ml,BC,1,389,0.002570694,4.150000095,2024-03-31
EDIBLES,zz_comp_HOUSE OF TERPENES,LIMONENE & SPARKLING TONIC,1x355ml,AB,1,566,0.001766784,6.610000134,2024-03-31
EDIBLES,zz_comp_LITTLE VICTORY,SPARKLING LEMONADE,1x355ml,MB,1,132,0.007575758,5.989999771,2024-03-31
EDIBLES,zz_comp_IMPROMPTU,SPACE ELEVATOR,330ml,SK,1,136,0.007352941,9.93999958,2024-03-31
EDIBLES,zz_comp_KEEF,ORANGE KUSH CLASSIC SODA,1x355ml,AB,0,566,0,,2024-03-31
EDIBLES,zz_comp_TWEED,GUAVA ICED TEA,355mL,MB,0,132,0,,2024-03-31
EDIBLES,zz_comp_IMPROMPTU,CBD GOJI GRAPEFRUIT KOMBUCHA,1x330ml,BC,0,389,0,,2024-03-31
EDIBLES,zz_comp_HOUSE OF TERPENES,LIMONENE & SPARKLING TONIC,1x355ml,SK,0,136,0,,2024-03-31
EDIBLES,zz_comp_IMPROMPTU,CBD GOJI GRAPEFRUIT KOMBUCHA,1x330ml,AB,0,566,0,,2024-03-31
EDIBLES,zz_comp_IMPROMPTU,CBD GOJI GRAPEFRUIT KOMBUCHA,1x330ml,SK,0,136,0,,2024-03-31
,Brand,Product Name,Size,Province,# Stores,Total Stores,'% of Stores,Avg Price,2024-03-24
,zz_comp_PHRESH,STRAWBERRY KIWI,1x355ml,ON,552,1631,0.338442673,6.173251914,2024-03-24
